Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
1.94E-11	2.24E-11	-3.01E-12	4.64E-01	H145PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
8.59E-09	8.64E-09	-4.41E-11	4.99E-01	H145PCOH(S) + PT(S) <=> H15PCOH(S) + H(S) + PT(B)
4.72E-08	4.72E-08	-3.18E-11	5.00E-01	H145PCOH(S) + PT(S) <=> H45PCOH(S) + H(S) + PT(B)
7.28E-12	8.42E-12	-1.14E-12	4.64E-01	H146PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
4.97E-09	4.96E-09	8.47E-12	5.00E-01	H146PCOH(S) + PT(S) <=> H16PCOH(S) + H(S) + PT(B)
2.52E-10	3.28E-10	-7.55E-11	4.35E-01	H146PCOH(S) + 2 PT(S) <=> H46PCOH(S) + H(S) + 2 PT(B)
2.92E-09	2.94E-09	-2.14E-11	4.98E-01	H156PCOH(S) + PT(S) <=> H15PCOH(S) + H(S) + PT(B)
4.52E-09	4.51E-09	4.39E-12	5.00E-01	H156PCOH(S) + PT(S) <=> H16PCOH(S) + H(S) + PT(B)
4.34E-08	4.50E-08	-1.66E-09	4.91E-01	H156PCOH(S) + PT(S) <=> H56PCOH(S) + H(S) + PT(B)
9.65E-12	1.05E-11	-8.68E-13	4.78E-01	H234PCOH(S) + PT(S) <=> H23PCOH(S) + H(S) + PT(B)
1.61E-11	2.09E-11	-4.82E-12	4.35E-01	H234PCOH(S) + PT(B) <=> H24PCOH(S) + H(S) + PT(S)
7.37E-11	7.39E-11	-2.08E-13	4.99E-01	H234PCOH(S) + PT(B) <=> H34PCOH(S) + H(S) + PT(S)
5.67E-12	6.17E-12	-5.03E-13	4.79E-01	H235PCOH(S) + 2 PT(S) <=> H23PCOH(S) + H(S) + 2 PT(B)
3.95E-12	4.43E-12	-4.80E-13	4.71E-01	H235PCOH(S) + 2 PT(S) <=> H25PCOH(S) + H(S) + 2 PT(B)
3.54E-10	3.56E-10	-2.08E-12	4.99E-01	H235PCOH(S) <=> H35PCOH(S) + H(S)
5.19E-12	5.67E-12	-4.76E-13	4.78E-01	H236PCOH(S) + 2 PT(S) <=> H23PCOH(S) + H(S) + 2 PT(B)
3.74E-08	3.74E-08	3.18E-11	5.00E-01	H236PCOH(S) <=> H26PCOH(S) + H(S)
4.42E-11	4.96E-11	-5.44E-12	4.71E-01	H236PCOH(S) + PT(S) <=> H36PCOH(S) + H(S) + PT(B)
1.69E-10	2.20E-10	-5.05E-11	4.35E-01	H245PCOH(S) <=> H24PCOH(S) + H(S)
4.74E-12	5.32E-12	-5.75E-13	4.71E-01	H245PCOH(S) + 2 PT(S) <=> H25PCOH(S) + H(S) + 2 PT(B)
4.46E-10	4.46E-10	-6.78E-13	5.00E-01	H245PCOH(S) <=> H45PCOH(S) + H(S)
1.25E-10	1.63E-10	-3.80E-11	4.34E-01	H246PCOH(S) <=> H24PCOH(S) + H(S)
6.64E-01	6.64E-01	-4.94E-09	5.00E-01	H246PCOH(S) <=> H26PCOH(S) + H(S)
4.72E-12	6.15E-12	-1.43E-12	4.34E-01	H246PCOH(S) + PT(S) <=> H46PCOH(S) + H(S) + PT(B)
5.04E-12	5.67E-12	-6.27E-13	4.71E-01	H256PCOH(S) + 3 PT(S) <=> H25PCOH(S) + H(S) + 3 PT(B)
5.22E-08	5.22E-08	4.43E-11	5.00E-01	H256PCOH(S) + PT(S) <=> H26PCOH(S) + H(S) + PT(B)
1.28E-09	1.33E-09	-5.10E-11	4.90E-01	H256PCOH(S) + PT(S) <=> H56PCOH(S) + H(S) + PT(B)
6.63E-08	6.62E-08	6.75E-11	5.00E-01	H345PCOH(S) <=> H34PCOH(S) + H(S)
3.63E-08	3.64E-08	-1.13E-10	4.99E-01	H345PCOH(S) <=> H35PCOH(S) + H(S)
3.80E-08	3.80E-08	3.87E-11	5.00E-01	H345PCOH(S) <=> H45PCOH(S) + H(S)
6.93E-10	6.94E-10	-1.02E-12	5.00E-01	H346PCOH(S) <=> H34PCOH(S) + H(S)
5.17E-11	5.79E-11	-6.20E-12	4.72E-01	H346PCOH(S) + PT(S) <=> H36PCOH(S) + H(S) + PT(B)
5.69E-12	7.38E-12	-1.70E-12	4.35E-01	H346PCOH(S) + PT(S) <=> H46PCOH(S) + H(S) + PT(B)
4.49E-10	4.52E-10	-3.16E-12	4.98E-01	H356PCOH(S) + PT(S) <=> H35PCOH(S) + H(S) + PT(B)
6.10E-11	6.85E-11	-7.42E-12	4.71E-01	H356PCOH(S) + 2 PT(S) <=> H36PCOH(S) + H(S) + 2 PT(B)
1.27E-09	1.32E-09	-4.87E-11	4.91E-01	H356PCOH(S) + PT(S) <=> H56PCOH(S) + H(S) + PT(B)
8.29E-10	8.31E-10	-2.34E-12	4.99E-01	H456PCOH(S) <=> H45PCOH(S) + H(S)
1.19E-11	1.54E-11	-3.56E-12	4.35E-01	H456PCOH(S) + PT(S) <=> H46PCOH(S) + H(S) + PT(B)
2.24E-09	2.32E-09	-8.56E-11	4.91E-01	H456PCOH(S) <=> H56PCOH(S) + H(S)
6.18E-10	7.69E-10	-1.51E-10	4.45E-01	H12PCOH(S) + PT(S) <=> H1PCOH(S) + H(S) + PT(B)
1.33E-08	1.70E-08	-3.60E-09	4.41E-01	H12PCOH(S) + 2 PT(S) <=> H2PCOH(S) + H(S) + 2 PT(B)
1.63E-09	2.28E-09	-6.45E-10	4.17E-01	H13PCOH(S) + 2 PT(S) <=> H1PCOH(S) + H(S) + 2 PT(B)
4.52E-09	5.56E-09	-1.04E-09	4.49E-01	H13PCOH(S) + 2 PT(S) <=> H3PCOH(S) + H(S) + 2 PT(B)
4.77E-11	5.80E-11	-1.03E-11	4.51E-01	H14PCOH(S) + PT(S) <=> H1PCOH(S) + H(S) + PT(B)
3.96E-12	5.00E-12	-1.04E-12	4.42E-01	H14PCOH(S) + 2 PT(S) <=> H4PCOH(S) + H(S) + 2 PT(B)
4.35E-09	6.08E-09	-1.72E-09	4.17E-01	H15PCOH(S) + 2 PT(S) <=> H1PCOH(S) + H(S) + 2 PT(B)
5.55E-10	6.84E-10	-1.29E-10	4.48E-01	H15PCOH(S) + 3 PT(S) <=> H5PCOH(S) + H(S) + 3 PT(B)
2.45E-10	3.45E-10	-1.00E-10	4.15E-01	H16PCOH(S) + 2 PT(S) <=> H1PCOH(S) + H(S) + 2 PT(B)
8.89E-11	1.29E-10	-4.02E-11	4.08E-01	H16PCOH(S) + 3 PT(S) <=> H6PCOH(S) + H(S) + 3 PT(B)
5.18E-09	6.82E-09	-1.64E-09	4.32E-01	H23PCOH(S) + PT(S) <=> H2PCOH(S) + H(S) + PT(B)
6.64E-10	7.55E-10	-9.08E-11	4.68E-01	H23PCOH(S) <=> H3PCOH(S) + H(S)
4.75E-08	5.24E-08	-4.92E-09	4.75E-01	H24PCOH(S) + 3 PT(S) <=> H2PCOH(S) + H(S) + 3 PT(B)
